+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
+----------------------------------------------------------------------------------------------------------------------+--------+
| Amaren ideia                                                                                                         | 9.8    |
| The American Buffalo                                                                                                 | 9.8    |
| Hopeful Notes                                                                                                        | 9.7    |
| Lebensraum/Living Space                                                                                              | 9.7    |
| Prvih Trideset Godina                                                                                                | 9.7    |
| Carolina, RI: The Smallest of the Small                                                                              | 9.6    |
| Maria, regina noastra                                                                                                | 9.6    |
| Mountains That Take Wing: Angela Davis & Yuri Kochiyama - A Conversation on Life, Struggles & Liberation             | 9.6    |
| Stvarnost je takva kakva je                                                                                          | 9.6    |
| Born to Be Our Children: Romanian Adoption Stories                                                                   | 9.5    |
| I Breathe                                                                                                            | 9.5    |
| Revolver: Poor Boyz                                                                                                  | 9.5    |
| For Queen and Country                                                                                                | 9.4    |
| Invisible Circus: No Dress Rehearsal                                                                                 | 9.4    |
| Kino moje malo                                                                                                       | 9.4    |
| Land of the Rising Fastball                                                                                          | 9.4    |
| Moonshine to the Finish Line: An Unofficial History of NASCAR                                                        | 9.4    |
| Nickel City Smiler                                                                                                   | 9.4    |
| Shakti Pirakkudhu                                                                                                    | 9.4    |
| Bots High                                                                                                            | 9.3    |
| Knut Sigve fra Folkestad                                                                                             | 9.3    |
| My Good and Beautiful Friends                                                                                        | 9.3    |
| My Sexuality: A Sensory Experience                                                                                   | 9.3    |
| Poor No More                                                                                                         | 9.3    |
| Silent Drum                                                                                                          | 9.3    |
| The Wall                                                                                                             | 9.3    |
| Zlin the lived Utopia                                                                                                | 9.3    |
| Die Haushaltshilfe                                                                                                   | 9.2    |
| Everything In-Between: The Story of Ellipse                                                                          | 9.2    |
| Healing Neen                                                                                                         | 9.2    |
| Kings of the Gambia                                                                                                  | 9.2    |
| Mzungu (n.) White-Wanderer                                                                                           | 9.2    |
| Outrageus Office                                                                                                     | 9.2    |
| Soi Dogs                                                                                                             | 9.2    |
| The Black Roots of Salsa: The Emancipation of Cuban Rumba                                                            | 9.2    |
| Townbiz                                                                                                              | 9.2    |
| When My Child Is Born                                                                                                | 9.2    |
| Wimbledon Official Film 2010                                                                                         | 9.2    |
| Yasuni - dos segundos de vida                                                                                        | 9.2    |
| All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall                                       | 9.1    |
| August Light: Wilson's Creek and the Battle for Missouri                                                             | 9.1    |
| Dhinveynugehithaamaigaa                                                                                              | 9.1    |
| FC Chechnya                                                                                                          | 9.1    |
| Honor in the Valley of Tears                                                                                         | 9.1    |
| Hymen National                                                                                                       | 9.1    |
| My Champion                                                                                                          | 9.1    |
| Road to Pride                                                                                                        | 9.1    |
| Tebaatusasula                                                                                                        | 9.1    |
| U redu, pobedio sam                                                                                                  | 9.1    |
| 759 Dresden                                                                                                          | 9.0    |
| A Bend in the Road                                                                                                   | 9.0    |
| American Greyhounds                                                                                                  | 9.0    |
| Battle of the Bagpipes                                                                                               | 9.0    |
| Dirty Martini and the New Burlesque                                                                                  | 9.0    |
| Eagles: Return to Glory                                                                                              | 9.0    |
| Fool in a Bubble                                                                                                     | 9.0    |
| Gabriel                                                                                                              | 9.0    |
| Hurry Home                                                                                                           | 9.0    |
| Lanfranchi's Memorial Discotheque                                                                                    | 9.0    |
| Min pinlige familie og mutantdræbersneglene                                                                          | 9.0    |
| New York Street Games                                                                                                | 9.0    |
| Once Upon Our Time                                                                                                   | 9.0    |
| One-Eyed Doll: A Rockumentary                                                                                        | 9.0    |
| Señora de                                                                                                            | 9.0    |
| Sharkula: Diarrhea of a Madman                                                                                       | 9.0    |
| Tist' dan v tednu                                                                                                    | 9.0    |
| To Age or Not to Age                                                                                                 | 9.0    |
| 100,000                                                                                                              | 8.9    |
| Bruce Springsteen and the E Street Band: London Calling - Live in Hyde Park                                          | 8.9    |
| Chekhov for Children                                                                                                 | 8.9    |
| Ciclovida: Lifecycle                                                                                                 | 8.9    |
| CrossFit World Games: The Story of Annie and Sven                                                                    | 8.9    |
| Cut Poison Burn                                                                                                      | 8.9    |
| Dazed in Doon                                                                                                        | 8.9    |
| DranDeh                                                                                                              | 8.9    |
| Help the World                                                                                                       | 8.9    |
| If I Should Fall                                                                                                     | 8.9    |
| John Henry: A Steel Driving Race Horse                                                                               | 8.9    |
| Kupi jedan molim te!                                                                                                 | 8.9    |
| Les Passionnés                                                                                                       | 8.9    |
| Powerful: Energy for Everyone                                                                                        | 8.9    |
| Rabbit Fever                                                                                                         | 8.9    |
| Soberano: Seis Vezes São Paulo                                                                                       | 8.9    |
| Somewhere Near Tapachula                                                                                             | 8.9    |
| Staying Gold                                                                                                         | 8.9    |
| The Children's War                                                                                                   | 8.9    |
| The Final Journey                                                                                                    | 8.9    |
| The Way He Makes Them Feel: A Michael Jackson Fan Documentary                                                        | 8.9    |
| Truth & Life Dramatized Audio Bible                                                                                  | 8.9    |
| Urban Crazy                                                                                                          | 8.9    |
| A Journey to Etna                                                                                                    | 8.8    |
| A3D Ayumi Hamasaki Arena Tour 2009 A: Next Level                                                                     | 8.8    |
| Agadez, the Music and the Rebellion                                                                                  | 8.8    |
| Astralis - Institution                                                                                               | 8.8    |
| Boundaries                                                                                                           | 8.8    |
| Choctaw Code Talkers                                                                                                 | 8.8    |
| Confesiones de un Sicario                                                                                            | 8.8    |
| En los pasos de Abraham                                                                                              | 8.8    |
| For Once in My Life                                                                                                  | 8.8    |
| Harvest of Loneliness                                                                                                | 8.8    |
| How Can You Tell If the Little Fish Are Happy?                                                                       | 8.8    |
| In Focus                                                                                                             | 8.8    |
| Inception                                                                                                            | 8.8    |
| Journey from Zanskar                                                                                                 | 8.8    |
| Kiki's Story: A Psychodrama Session                                                                                  | 8.8    |
| Kisses, Chloe                                                                                                        | 8.8    |
| Le gai tapant                                                                                                        | 8.8    |
| Les Misérables in Concert: The 25th Anniversary                                                                      | 8.8    |
| Let's Run Away from Her                                                                                              | 8.8    |
| My So-Called Enemy                                                                                                   | 8.8    |
| Napozz Holddal - A Kispálfilm                                                                                        | 8.8    |
| New Kids on the Block: Coming Home                                                                                   | 8.8    |
| Parastasul lui Viorel nu se mai tine aici                                                                            | 8.8    |
| Pride in Battle                                                                                                      | 8.8    |
| Shepherds of Helmand                                                                                                 | 8.8    |
| Skin Trade                                                                                                           | 8.8    |
| Taliya.Date.Com                                                                                                      | 8.8    |
| Temporary Valparaíso                                                                                                 | 8.8    |
| The Art of Women                                                                                                     | 8.8    |
| The Ballad of Frankie Silver                                                                                         | 8.8    |
| The Clock                                                                                                            | 8.8    |
| Unbelehrbar                                                                                                          | 8.8    |
| Utopia in Four Movements                                                                                             | 8.8    |
| Zaustavljeni Glas                                                                                                    | 8.8    |
| Bazaar of All Nations                                                                                                | 8.7    |
| Camp Beaverbrook: The Movie                                                                                          | 8.7    |
| Can 1?                                                                                                               | 8.7    |
| City Lax: An Urban Lacrosse Story                                                                                    | 8.7    |
| Dreaming Nicaragua                                                                                                   | 8.7    |
| Drive Somewhere: The Saga of the Vulgar Boatmen                                                                      | 8.7    |
| Dve ali tri stvari, ki jih vem o njej                                                                                | 8.7    |
| Europolis - The Town of the Delta                                                                                    | 8.7    |
